id,Z-0_MA_AA,Z-1_MA_AA,Z-2_MA_AA,Z-3_MA_AA,I-0_MA_AA,I-1_MA_AA,I-2_MA_AA,I-3_MA_AA,T-0_MA_AA,T-1_MA_AA,T-2_MA_AA,T-3_MA_AA,S-0_MA_AA,S-1_MA_AA,S-2_MA_AA,S-3_MA_AA,chi-0_MA_AA,chi-1_MA_AA,chi-2_MA_AA,chi-3_MA_AA,qnat-0_MA_AA,qnat-1_MA_AA,qnat-2_MA_AA,qnat-3_MA_AA,Vnat-0_MA_AA,Vnat-1_MA_AA,Vnat-2_MA_AA,Vnat-3_MA_AA,Ns-0_MA_AA,Ns-1_MA_AA,Ns-2_MA_AA,Ns-3_MA_AA,Np-0_MA_AA,Np-1_MA_AA,Np-2_MA_AA,Np-3_MA_AA,Nd-0_MA_AA,Nd-1_MA_AA,Nd-2_MA_AA,Nd-3_MA_AA,Nlp-0_MA_AA,Nlp-1_MA_AA,Nlp-2_MA_AA,Nlp-3_MA_AA,LPde-0_MA_AA,LPde-1_MA_AA,LPde-2_MA_AA,LPde-3_MA_AA,LPe-0_MA_AA,LPe-1_MA_AA,LPe-2_MA_AA,LPe-3_MA_AA,LPocc-0_MA_AA,LPocc-1_MA_AA,LPocc-2_MA_AA,LPocc-3_MA_AA,LPs-0_MA_AA,LPs-1_MA_AA,LPs-2_MA_AA,LPs-3_MA_AA,LPp-0_MA_AA,LPp-1_MA_AA,LPp-2_MA_AA,LPp-3_MA_AA,LPd-0_MA_AA,LPd-1_MA_AA,LPd-2_MA_AA,LPd-3_MA_AA,Nlv-0_MA_AA,Nlv-1_MA_AA,Nlv-2_MA_AA,Nlv-3_MA_AA,LVde-0_MA_AA,LVde-1_MA_AA,LVde-2_MA_AA,LVde-3_MA_AA,LVe-0_MA_AA,LVe-1_MA_AA,LVe-2_MA_AA,LVe-3_MA_AA,LVocc-0_MA_AA,LVocc-1_MA_AA,LVocc-2_MA_AA,LVocc-3_MA_AA,LVs-0_MA_AA,LVs-1_MA_AA,LVs-2_MA_AA,LVs-3_MA_AA,LVp-0_MA_AA,LVp-1_MA_AA,LVp-2_MA_AA,LVp-3_MA_AA,LVd-0_MA_AA,LVd-1_MA_AA,LVd-2_MA_AA,LVd-3_MA_AA,target_distance,target_barrier,target_angle
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_bromide_1_smi1_1_s_1,5929.0,8855.0,2772.0,1386.0,1.0,5.0,6.0,18.0,25.0,65.0,120.0,90.0,1.988,7.008,6.176,7.868,4.84,29.282,33.66,87.12,0.120902,-0.583899,2.067984,-1.604995,86.694535,234.187972,278.252232,124.166521,0.578,5.715,5.518,10.169,0.0,0.178,0.227,0.0,73.445,0.514,0.0,0.0,16.0,24.0,0.0,0.0,0.00304,0.020233,0.0,0.0,0.02594,0.119956,0.0,0.0,3.919885,10.334644,0.0,0.0,0.002798,0.035353,0.0,0.0,0.0,0.0,0.0,0.0,0.896998,0.001326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8592,7.6,25.4897
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_chloride_1_smi1_1_s_1,5929.0,7469.0,2772.0,1386.0,1.0,5.0,6.0,18.0,25.0,65.0,120.0,90.0,1.988,6.754,6.176,7.868,4.84,29.722,33.66,87.12,0.10978,-0.554792,1.971811,-1.526802,86.311161,233.706755,277.668648,123.913045,0.578,5.708,5.518,10.169,0.0,0.178,0.227,0.0,73.102,0.513,0.0,0.0,16.0,24.0,0.0,0.0,0.00323,0.022044,0.0,0.0,0.02469,0.117309,0.0,0.0,3.9204,10.322374,0.0,0.0,0.003003,0.03665,0.0,0.0,0.0,0.000233,0.0,0.0,0.893214,0.001323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972,9.3,27.8975
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-cch_1_smi1_1_s_1,5929.0,6006.0,3850.0,1463.0,1.0,4.0,8.0,19.0,16.0,48.0,108.0,76.0,1.988,5.414,8.136,8.305,4.84,20.812,46.838,91.96,0.129492,-0.82342,2.432762,-1.738824,87.066815,145.038763,379.520842,131.767525,0.548,3.796,7.385,10.471,0.0,0.105,0.307,0.0,74.132,0.43,0.086,0.0,16.0,8.0,4.0,0.0,0.012113,0.0,0.0,0.0,0.008881,0.018294,0.045635,0.0,3.916322,5.481015,3.915056,0.0,0.002401,0.031943,0.026166,0.0,0.0,0.000135,4.7e-05,0.0,0.904211,0.000761,0.000475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9582,7.8,31.0374
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,5929.0,6006.0,3927.0,1386.0,1.0,4.0,8.0,18.0,16.0,48.0,104.0,72.0,1.988,5.414,8.108,7.868,4.84,20.812,47.916,87.12,0.149668,-1.000686,2.643904,-1.792883,87.615216,142.466949,390.633868,124.672457,0.578,3.899,8.026,10.108,0.0,0.102,0.312,0.0,74.304,0.431,0.172,0.0,16.0,8.0,8.0,0.0,0.010939,0.0,0.0,0.0,0.012537,0.025638,0.084916,0.0,3.917549,5.487989,7.808022,0.0,0.00253,0.033993,0.052232,0.0,0.0,0.000132,9.6e-05,0.0,0.90174,0.00076,0.001045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934,5.4,29.9117
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-icn_1_smi1_1_s_1,5929.0,6083.0,3850.0,2002.0,1.0,4.0,8.0,19.0,16.0,48.0,108.0,76.0,1.988,5.386,8.136,8.798,4.84,21.89,46.838,94.688,0.070841,-0.499497,1.512241,-1.083591,85.197146,156.555685,365.214633,183.404762,0.548,3.944,7.134,11.144,0.0,0.117,0.3,0.048,72.42,0.426,0.17,0.085,16.0,8.0,4.0,12.0,0.006233,0.0,0.0,0.021052,0.018287,0.049018,0.065578,0.028003,3.918143,5.902759,3.912838,3.246087,0.003003,0.034699,0.029641,0.0,0.0,0.000137,4.6e-05,0.0001,0.893214,0.000945,0.000378,0.001323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9439,13.3,30.1843
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,5929.0,6083.0,3850.0,2618.0,1.0,4.0,8.0,19.0,16.0,48.0,108.0,76.0,1.988,5.386,8.136,9.348,4.84,21.89,46.838,92.796,0.074545,-0.555859,1.711374,-1.23006,85.348774,155.17974,371.038107,179.409304,0.562,3.975,7.387,11.318,0.0,0.116,0.304,0.044,72.42,0.426,0.17,0.17,16.0,8.0,4.0,12.0,0.007118,0.0,0.0,0.023504,0.018395,0.050396,0.06664,0.021421,3.917153,5.906883,3.912859,3.223213,0.002992,0.03043,0.029582,0.0,0.0,0.000144,4.6e-05,0.0001,0.893403,0.000851,0.000378,0.00189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9441,12.1,30.2658
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,5929.0,7315.0,3388.0,1386.0,1.0,6.0,7.0,18.0,36.0,102.0,150.0,108.0,1.988,7.247,7.106,7.868,4.84,37.026,41.228,87.12,0.092477,-0.628858,1.945042,-1.408661,85.917698,265.841195,336.629181,123.4449,0.562,6.548,6.72,9.975,0.0,0.201,0.274,0.0,72.761,0.682,0.085,0.0,16.0,28.0,4.0,0.0,0.005281,0.048743,0.0,0.0,0.021255,0.11454,0.072771,0.0,3.925233,13.295868,3.917347,0.0,0.003306,0.023259,0.030946,0.0,0.0,0.000359,4.6e-05,0.0,0.888118,0.002262,0.000377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9237,5.2,29.3361
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-oh_1_smi1_1_s_1,5929.0,6160.0,3465.0,1386.0,1.0,4.0,8.0,18.0,16.0,48.0,104.0,72.0,1.988,5.316,7.544,7.868,4.84,22.77,46.068,87.12,0.054345,-0.387508,1.400583,-1.067426,71.404528,153.618112,311.983331,112.943797,0.562,4.268,7.132,10.042,0.0,0.252,0.549,0.0,71.402,0.422,0.084,0.0,16.0,16.0,4.0,0.0,0.003192,0.013961,0.0,0.0,0.020255,0.031984,0.066624,0.0,3.923054,6.326102,3.915012,0.0,0.003528,0.008001,0.032177,0.0,0.0,0.000186,4.6e-05,0.0,0.88454,0.001129,0.000376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9808,14.2,31.8887
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,5929.0,6776.0,3465.0,1386.0,1.0,4.0,8.0,18.0,16.0,48.0,104.0,72.0,1.988,5.866,7.544,7.868,4.84,20.878,46.068,87.12,0.13733,-0.756784,2.323096,-1.70363,73.824526,152.825547,319.478048,114.742607,0.562,4.283,7.35,10.042,0.0,0.244,0.549,0.0,73.96,0.516,0.086,0.0,16.0,16.0,4.0,0.0,0.003782,0.014229,0.0,0.0,0.022341,0.032514,0.071728,0.0,3.914937,6.305704,3.909911,0.0,0.002401,0.006287,0.026313,0.0,0.0,0.0,0.0,0.0,0.904401,0.001236,0.00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8711,6.0,25.8828
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_fluoride_1_smi1_1_s_1,5929.0,6853.0,2772.0,1386.0,1.0,5.0,6.0,18.0,25.0,65.0,120.0,90.0,1.988,6.119,6.176,7.868,4.84,31.526,33.66,87.12,0.042362,-0.322164,1.227025,-0.947221,83.849001,231.368652,273.776683,122.15611,0.562,5.625,5.445,10.005,0.0,0.357,0.454,0.0,71.065,0.506,0.0,0.0,16.0,24.0,0.0,0.0,0.003298,0.034534,0.0,0.0,0.021583,0.11005,0.0,0.0,3.925074,10.338372,0.0,0.0,0.003931,0.042128,0.0,0.0,0.0,0.000233,0.0,0.0,0.878156,0.001312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9811,15.3,31.8719
